ID,Image,Orientation,Height (mm),Width (mm),Made On,Title,Medium,Location,Painting Cost,Framed,Framing Cost,List Price,Featured,Status,Exhibited,Sales Channel,Sold On,Sold Price,Bought By
55,/art/55.jpg,Horizontal,380,530,31/12/2024,Plaza Republica,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
56,/art/56.jpg,Vertical,530,380,01/01/2025,Duomo,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
57,/art/57.jpg,Vertical,410,310,02/01/2025,Facade,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
58,/art/58.jpg,Horizontal,380,530,04/01/2025,Ponte Vecchio,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
59,/art/59.jpg,Vertical,410,310,04/01/2025,Palazzo Vecchio,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
60,/art/60.jpg,Horizontal,380,530,04/01/2025,Basilica di Santa Croce,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
61,/art/61.jpg,Vertical,530,380,05/01/2025,Vignette,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
62,/art/62.jpg,Vertical,530,380,06/01/2025,Duomo II,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
63,/art/63.jpg,Vertical,530,380,07/01/2025,Neptune,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
64,/art/64.jpg,Horizontal,380,530,18/01/2025,1939 Building,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
45,/art/45.jpg,Horizontal,380,530,30/01/2025,Joo Chiat Noon,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
66,/art/66.jpg,Vertical,410,310,04/01/2025,Funan Interior,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
67,/art/67.jpg,Horizontal,380,530,15/11/2025,Arch National Park,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
68,/art/68.jpg,Horizontal,380,530,08/02/2025,Tiong Bahru Bakery,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
69,/art/69.jpg,Vertical,530,380,01/03/2025,Gotham Cals,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
70,/art/70.jpg,Horizontal,380,530,08/03/2025,Tembling Road,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
71,/art/71.jpg,Horizontal,380,530,24/02/2025,Nanyang Arts Festival,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
72,/art/72.jpg,Horizontal,380,530,10/03/2025,North Spine,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
73,/art/73.jpg,Horizontal,380,530,22/03/2025,Respite at the Fountain,Watercolor on Paper,Home,7,FALSE,,55,FALSE,Available,,,,,
74,/art/74.jpg,Horizontal,380,530,29/03/2025,Sultan Mosque III,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
75,/art/75.jpg,Horizontal,380,530,04/07/2025,Little Inda Bustle,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
76,/art/76.jpg,Horizontal,380,530,04/07/2025,Stephansplatz,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
77,/art/77.jpg,Horizontal,380,530,04/07/2025,Lübeck Cathedral,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
